epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,81.0888,0.60518,5.86692,1.13233,1.0671,0.59165,0.49565,0.55053,0.3324,0.98952,0.01667,0.01636,0.00327,1.61108,5.16613,1.80792,1.36438,2.99772e-05,2.99772e-05,2.99772e-05
55,82.4506,0.73879,6.10419,1.07019,1.05125,0.59165,0.49565,0.55053,0.3324,0.98952,0.01667,0.01636,0.00327,1.61108,5.16613,1.80792,1.36438,2.99066e-05,2.99066e-05,2.99066e-05
56,83.7783,0.81393,5.75486,1.43614,1.20947,0.59165,0.49565,0.55053,0.3324,0.98952,0.01667,0.01636,0.00327,1.61108,5.16613,1.80792,1.36438,2.98125e-05,2.98125e-05,2.98125e-05
57,85.2449,0.80892,5.76662,1.57046,1.20344,0.59124,0.49505,0.5462,0.32944,0.98944,0.01667,0.01637,0.00164,1.62353,5.16876,1.80609,1.36957,2.96948e-05,2.96948e-05,2.96948e-05
58,86.6809,0.77419,5.88828,1.90239,1.17659,0.59124,0.49505,0.5462,0.32944,0.98944,0.01667,0.01637,0.00164,1.62353,5.16876,1.80609,1.36957,2.95535e-05,2.95535e-05,2.95535e-05
59,88.0662,0.83793,6.11292,1.14508,1.17797,0.59124,0.49505,0.5462,0.32944,0.98944,0.01667,0.01637,0.00164,1.62353,5.16876,1.80609,1.36957,2.93887e-05,2.93887e-05,2.93887e-05
60,89.505,0.59549,5.80974,1.00191,1.12814,0.59461,0.49437,0.53352,0.29985,0.98928,0.01667,0.01638,0.00164,1.64662,5.16725,1.82113,1.37994,2.92003e-05,2.92003e-05,2.92003e-05
61,90.8582,0.66688,5.70698,0.95666,1.06391,0.59461,0.49437,0.53352,0.29985,0.98928,0.01667,0.01638,0.00164,1.64662,5.16725,1.82113,1.37994,2.89884e-05,2.89884e-05,2.89884e-05
62,92.2272,0.67835,5.66372,1.19465,1.07281,0.59461,0.49437,0.53352,0.29985,0.98928,0.01667,0.01638,0.00164,1.64662,5.16725,1.82113,1.37994,2.87529e-05,2.87529e-05,2.87529e-05
63,93.6042,0.68118,5.60291,1.15627,1.1067,0.59271,0.49559,0.52331,0.28917,0.98902,0.01667,0.01639,0.00164,1.65513,5.17002,1.85054,1.3842,2.84938e-05,2.84938e-05,2.84938e-05
64,94.9558,0.63123,5.5836,1.05655,1.0727,0.59271,0.49559,0.52331,0.28917,0.98902,0.01667,0.01639,0.00164,1.65513,5.17002,1.85054,1.3842,2.82112e-05,2.82112e-05,2.82112e-05
65,96.3015,0.60226,5.76656,0.92018,1.15509,0.59271,0.49559,0.52331,0.28917,0.98902,0.01667,0.01639,0.00164,1.65513,5.17002,1.85054,1.3842,2.7905e-05,2.7905e-05,2.7905e-05
66,97.7482,0.72486,6.07017,0.97666,1.11222,0.59205,0.49548,0.5262,0.2864,0.98826,0.01667,0.01641,0.00164,1.64542,5.17229,1.86076,1.3704,2.75753e-05,2.75753e-05,2.75753e-05
67,99.1197,0.6884,5.6496,1.44832,1.08534,0.59205,0.49548,0.5262,0.2864,0.98826,0.01667,0.01641,0.00164,1.64542,5.17229,1.86076,1.3704,2.7222e-05,2.7222e-05,2.7222e-05
68,100.613,1.03382,5.70537,2.18019,1.38237,0.59205,0.49548,0.5262,0.2864,0.98826,0.01667,0.01641,0.00164,1.64542,5.17229,1.86076,1.3704,2.68451e-05,2.68451e-05,2.68451e-05
69,102.039,0.60202,5.59183,1.31176,1.06008,0.75866,0.49711,0.52545,0.26879,0,0,0,0,1.67048,5.17432,1.87044,1.38167,2.64447e-05,2.64447e-05,2.64447e-05
70,103.369,0.70572,5.48754,0.96728,1.18452,0.75866,0.49711,0.52545,0.26879,0,0,0,0,1.67048,5.17432,1.87044,1.38167,2.60207e-05,2.60207e-05,2.60207e-05
71,104.703,0.80594,6.05279,1.6876,1.15659,0.75866,0.49711,0.52545,0.26879,0,0,0,0,1.67048,5.17432,1.87044,1.38167,2.55731e-05,2.55731e-05,2.55731e-05
72,106.221,0.57691,5.67142,0.75272,1.04765,0.75933,0.48946,0.52043,0.25379,0,0,0,0,1.71169,5.17572,1.8954,1.40394,2.5102e-05,2.5102e-05,2.5102e-05
73,107.647,0.83299,5.5873,1.39649,1.13323,0.75933,0.48946,0.52043,0.25379,0,0,0,0,1.71169,5.17572,1.8954,1.40394,2.46073e-05,2.46073e-05,2.46073e-05
74,109.07,0.48737,5.40039,0.91515,1.02188,0.75933,0.48946,0.52043,0.25379,0,0,0,0,1.71169,5.17572,1.8954,1.40394,2.40891e-05,2.40891e-05,2.40891e-05
75,110.504,0.57356,5.49285,0.6906,1.02483,0.75676,0.49448,0.51991,0.26164,0,0,0,0,1.71916,5.18099,1.89717,1.41579,2.35472e-05,2.35472e-05,2.35472e-05
76,111.918,0.52154,5.41171,0.96344,1.04182,0.75676,0.49448,0.51991,0.26164,0,0,0,0,1.71916,5.18099,1.89717,1.41579,2.29819e-05,2.29819e-05,2.29819e-05
77,113.315,0.586,5.29519,0.80588,1.05843,0.75676,0.49448,0.51991,0.26164,0,0,0,0,1.71916,5.18099,1.89717,1.41579,2.23929e-05,2.23929e-05,2.23929e-05
78,114.779,0.67357,5.57985,1.27771,1.07587,0.75618,0.49241,0.54063,0.26217,0,0,0,0,1.72425,5.18216,1.90711,1.41554,2.17805e-05,2.17805e-05,2.17805e-05
79,116.118,0.60299,5.77084,1.03056,1.00657,0.75618,0.49241,0.54063,0.26217,0,0,0,0,1.72425,5.18216,1.90711,1.41554,2.11444e-05,2.11444e-05,2.11444e-05
